English,ASL Gloss
What is your good friend's name?, YOUR GOOD FRIEND NAME WHAT?
What is your mom's name?, YOUR MOM NAME WHAT?
What is your dad's name?, YOUR DAD NAME WHAT?
What is your brother's name?, YOUR BROTHER NAME WHAT?
What is your sister's name?, YOUR SISTER NAME WHAT?
My grandfather John likes chicken., CHICKEN MY GRANDFATHER J-O-H-N LIKE.
My cousin Gabe loves fish., FISH MY COUSIN G-A-B-E LOVES.
My grandmother Annie likes apples., APPLES MY GRANDMOTHER A-N-N-I-E LIKES.
My brother Jake loves corn on the cob., CORN ON THE COB MY BROTHER J-A-K-E LOVES.
My sister Beth likes popcorn., POPCORN MY SISTER B-E-T-H LIKES
My daughter Rebecca doesn't like pop., SOFT DRINKS MY DAUGHTER R-E-B-E-C-C-A DOESN'T LIKE.
My uncle Roger likes milk., MILK MY UNCLE R-O-G-E-R LIKES.
My best friend Susan likes to eat eggs., EGGS MY BEST FRIEND S-U-S-A-N LIKES EAT.
My good friend Zack likes soup., SOUP MY GOOD FRIEND Z-A-C-K LIKES.
My boyfriend Ralph likes cheeseburgers., CHEESEBURGERS MY BOYFRIEND R-A-L-P-H LIKES.
My girlfriend Donna loves salad., SALAD MY GIRLFRIEND D-O-N-N-A LOVES.
My son Chris doesn't like candy., CANDY MY SON C-H-R-I-S DOESN'T LIKE.
My teacher Mrs. Cartwright doesn't like hot dogs., HOT DOGS MY TEACHER MRS. C-A-R-T-W-R-I-G-H-T DOESN'T LIKE.
My student Andre loves french fries., FRENCH FRIES MY STUDENT A-N-D-R-E LOVES.
My aunt Lisa doesn't like tea., TEA MY AUNT L-I-S-A DOESN'T LIKE.
Beth ate 2 pies., 2 PIES B-E-T-H ATE.
Tim ate 14 cookies., 14 COOKIES T-I-M ATE.
Max ate 7 oranges for breakfast., BREAKFAST 7 ORANGES M-A-X ATE.
Phil drank 3 soda pops., 3 SOFT DRINKS P-H-I-L DRANK.
Bob ate 6 bananas., 6 BANANAS B-O-B ATE.
Sean ate 10 french fries., 10 FRENCH FRIES S-E-A-N ATE.
Josie drank 4 coffees., 4 COFFEES J-O-S-I-E DRANK.
Rosa ate 4 sandwiches for lunch., LUNCH 4 SANDWICHES R-O-S-A ATE.
Kay ate 9 apples., 9 APPLES K-A-Y ATE.
Juan ate 5 hamburgers for dinner., DINNER 5 HAMBURGERS J-U-A-N ATE.
Ali drank 8 glasses of water., 8 WATERS A-L-I DRANK.
Marco ate 11 turkey sandwiches., 11 TURKEY SANDWICHES M-A-R-C-O ATE.
Tara ate 13 ears of corn on the cob for supper., SUPPER 13 CORN ON THE COB T-A-R-A ATE.
Jackie ate a salad for dinner., DINNER SALAD J-A-C-K-I-E ATE.
My friend drinks 2 bottles of soda pop for breakfast., BREAKFAST 2 POPS MY FRIEND DRINK.
Which do you like hot dogs or hamburgers?, YOU LIKE HOT DOG HAMBURGER WHICH?
Which do you like coffee or tea?, YOU LIKE COFFEE TEA WHICH?
Which do you like apples or oranges?, YOU LIKE APPLES ORANGES WHICH?
Which do you like ice cream or candy?, YOU LIKE ICE CREAM CANDY WHICH?
Which do you like soup or sandwiches?, YOU LIKE SOUP SANDWICH WHICH?
Which do you like pizza or french fries?, YOU LIKE PIZZA FRENCH FRIES WHICH?
Which do you like cookies or pie?, YOU LIKE COOKIE PIE WHICH?
Which do you like chicken or fish?, YOU LIKE CHICKEN FISH WHICH?
Which do you like grapes or bananas?, YOU LIKE GRAPES BANANAS WHICH?
Which do you like soft drinks or water?, YOU LIKE SOFT DRINKS WATER WHICH?
Which do you like eggs or cheese?, YOU LIKE EGGS CHEESE WHICH?
Which do you like corn on the cob or salad?, YOU LIKE CORN ON THE COB SALAD WHICH?
Samantha was born in Texas., TEXAS S-A-M-A-N-T-H-A BORN.
Nicholas lives in Arizona., ARIZONA N-I-C-H-O-L-A-S LIVE.
Michelle was born in New York., NEW YORK M-I-C-H-E-L-L-E BORN.
Thad lives in California., CALIFORNIA T-H-A-D LIVES.
Harrison was born in Washington D.C., WASHINGTON DC H-A-R-R-I-S-O-N BORN.
Marshall died in West Virginia., WEST VIRGINIA M-A-R-S-H-A-L-L DIED.
Crockett died in Alaska., ALASKA C-R-O-C-K-E-T-T DIED.
Danielle got married in Colorado., COLORADO D-A-N-I-E-L-L-E MARRIED.
Mohammad lives in Washington., WASHINGTON M-O-H-A-M-M-A-D LIVES.
Consuelo got married in Hawaii., HAWAII C-O-N-S-U-E-L-O MARRIED.
Alabama or Arkansas?, ALABAMA ARKANSAS WHICH
Hawaii or Florida?, HAWAII FLORIDA WHICH
Illinois or Indiana?, ILLINOIS INDIANA WHICH
Georgia or Kentucky?, GEORGIA KENTUCKY WHICH
Idaho or Kansas?, IDAHO KANSAS WHICH
Iowa or Louisiana?, IOWA LOUISIANA WHICH
Maine or Michigan?, MAINE MICHIGAN WHICH
Minnesota or Missouri?, MINNESOTA MISSOURI WHICH
Massachusetts or Nebraska?, MASSACHUSETTS NEBRASKA WHICH
Mississippi or New Hampshire?, MISSISSIPPI NEW HAMPSHIRE WHICH
Nevada or Ohio?, NEVADA OHIO WHICH
North Carolina or North Dakota?, NORTH CAROLINA NORTH DAKOTA WHICH
New Mexico or New Jersey?, NEW MEXICO NEW JERSEY WHICH
Pennsylvania or Rhode Island?, PENNSYLVANIA RHODE ISLAND WHICH
South Carolina or South Dakota?, SOUTH CAROLINA SOUTH DAKOTA WHICH
Kansas or Oregon?, KANSAS OREGON WHICH
Tennessee or Utah?, TENNESSEE UTAH WHICH
Vermont or Wyoming?, VERMONT WYOMING WHICH
Wisconsin or Virginia?, WISCONSIN VIRGINIA WHICH
Soup costs $3.50., SOUP COSTS 3 DOLLARS 50 CENTS.
Salad costs $2.99., SALAD COSTS 2 DOLLARS 99 CENTS.
Hamburger costs $6.99., HAMBURGER COSTS 6 DOLLARS 99 CENTS.
French fries cost $1.55., FRENCH FRIES COST 1 DOLLAR 55 CENTS.
Pizza costs $14.75., PIZZA COSTS 14 DOLLARS 75 CENTS.
A hot dog costs $2.50., HOT DOG COSTS 2 DOLLARS 50 CENTS.
Popcorn costs $6.00., POPCORN COSTS 6 DOLLARS.
A cookie costs $3.25., COOKIE COSTS 3 DOLLARS 25 CENTS.
Pie costs $15.95., PIE COSTS 15 DOLLARS 95 CENTS.
Eggs cost $4.73., EGGS COST 4 DOLLAR 73 CENTS.
Soda pop costs $2.98., SODA POP COSTS 2 DOLLARS 98 CENTS.
A sandwich costs $6.22., SANDWICH COSTS 6 DOLLARS 22 CENTS.
Water costs $0.99., WATER COSTS 99 CENTS.
Coffee costs $4.30., COFFEE COSTS 4 DOLLARS 30 CENTS.
Tea costs $1.15., TEA COSTS 1 DOLLAR 15 CENTS.
Beth's major is theater., B-E-T-H MAJOR WHAT? THEATER.
Bobby's minor is business., B-O-B-B-Y MINOR WHAT? BUSINESS.
Max's major is interpreting., M-A-X MAJOR WHAT? INTERPRETING.
Karen's minor is biology., K-A-R-E-N MINOR WHAT? BIOLOGY.
Rebecca's major is English., R-E-B-E-C-C-A MAJOR WHAT? ENGLISH.
Maria's minor is history., M-A-R-I-A MINOR WHAT? HISTORY.
Dave's major is nursing., D-A-V-E MAJOR WHAT? NURSING.
Frank's minor is law., F-R-A-N-K MINOR WHAT? LAW.
Greg's major is math., G-R-E-G MAJOR WHAT? MATH.
Helen's major is art., H-E-L-E-N MAJOR WHAT? ART.
Char's major is hairstyling., C-H-A-R MAJOR WHAT? HAIRSTYLING.
Javi's major is religion., J-A-V-I MAJOR WHAT? RELIGION.
Deena's minor is auto mechanics., D-E-E-N-A MINOR WHAT? AUTO MECHANICS.
Vic's major is plumbing., V-I-C MAJOR WHAT? PLUMBING.
Cyndi's minor is engineering., C-Y-N-D-I MINOR WHAT? ENGINEERING.
Jillian's major is medicine., J-I-L-L-I-A-N MAJOR WHAT? MEDICINE.
Bonnie hates mice snakes and spiders., MICE SNAKES SPIDERS B-O-N-N-I-E HATES.
Dorothy is afraid of lions tigers and bears., LIONS TIGERS BEARS D-O-R-O-T-H-Y AFRAID.
Jeff likes to eat deer squirrels and rabbits., DEER SQUIRRELS RABBITS J-E-F-F LIKES EAT.
Dale likes to eat fish chicken and pigs., FISH CHICKEN PIGS D-A-L-E LIKES EAT.
Abby loves butterflies monkeys and turtles., BUTTERFLIES MONKEYS TURTLES A-B-B-Y LOVES.
Chris likes monkeys. Christy likes tigers., MONKEYS C-H-R-I-S LIKES. TIGERS C-H-R-I-S-T-Y LIKES.
Troy has 10 lions. Erin has 18 ducks., 10 LIONS T-R-O-Y HAS. 18 DUCKS E-R-I-N HAS.
Eric has 24 cats. Carol has 44 dogs., 24 CATS E-R-I-C HAS. 44 DOGS C-A-R-O-L HAS.
Rick has 15 horses. Mark has 6 elephants., 15 HORSES R-I-C-K HAS. 6 ELEPHANTS M-A-R-K HAS.
Mike has 52 cows. Alex has 19 chickens., 52 COWS M-I-K-E HAS. 19 CHICKENS A-L-E-X HAS.
Mary has a rabbit named Houdini., M-A-R-Y HAS RABBIT NAME WHAT? H-O-U-D-I-N-I.
Mary has a rabbit named Houdini., RABBIT NAMED H-O-U-D-I-N-I M-A-R-Y HAS.
Erin has a cat named Mystery., E-R-I-N HAS CAT NAME WHAT? M-Y-S-T-E-R-Y.
Erin has a cat named Mystery., CAT NAMED M-Y-S-T-E-R-Y E-R-I-N HAS.
Jess has a dog named Rowdy., JESS HAS DOG NAME WHAT? R-O-W-D-Y.
Jess has a dog named Rowdy., DOG NAMED R-O-W-D-Y J-E-S-S HAS.
Tori has a fish named Mopsy., T-O-R-I HAS FISH NAME WHAT? M-O-P-S-Y.
Tori has a fish named Mopsy., FISH NAMED M-O-P-S-Y T-O-R-I HAS.
Devon is afraid of bears., BEARS D-E-V-O-N AFRAID.
Tim's T-shirt is blue., T-I-M HIS T-SHIRT BLUE.
Matt's socks are green., M-A-T-T HIS SOCKS WHAT COLOR? GREEN.
Sue's belt is brown., S-U-E HER BELT BROWN.
Ann's shorts are white., A-N-N HER SHORTS WHAT COLOR? WHITE.
Jeff's coat is tan., J-E-F-F HIS COAT TAN.
Todd's gloves are black., T-O-D-D HIS GLOVES WHAT COLOR? BLACK.
Lynn's dress is purple., L-Y-N-N HER DRESS PURPLE.
Mike's shirt is yellow., M-I-K-E HIS SHIRT WHAT COLOR? YELLOW.
Beth's pants are gray., B-E-T-H HER PANTS GRAY.
I have 10 black coats., 10 BLACK COATS I HAVE.
I have 2 red dresses., 2 RED DRESSES I HAVE.
I have 4 orange hats., 4 ORANGE HATS I HAVE.
I have 7 tan pants., 7 TAN PANTS I HAVE.
I have 5 purple ties., 5 PURPLE TIES I HAVE.
I have 6 brown shoes., 6 BROWN SHOES I HAVE.
My husband Bob does not like to exercise., EXERCISE MY HUSBAND B-O-B DOESN'T LIKE.
Uncle John hates to lose., LOSE UNCLE J-O-H-N HATES.
I will play tennis at 8 a.m., TIME 8 AM TENNIS I PLAY.
My three favorite sports are skiing ice skating and roller skating., MY 3 FAVORITE SPORTS WHAT? SKIING ICE SKATING ROLLER SKATING.
Chad likes to play soccer and tennis., SOCCER TENNIS CHAD LIKES PLAY.
My best friend beat me in ping pong., PING PONG MY BEST FRIEND BEAT-ME .
My mom's favorite sport is golf., GOLF MY MOM FAVORITE SPORT.
Yesterday MSU played basketball and won., YESTERDAY BASKETBALL M-S-U PLAY WON.
My parents love to roller skate., ROLLER SKATE MY PARENTS LOVE.
Today I will go bowling at 6 p.m., TODAY TIME 6 PM I BOWLING.
I play volleyball tomorrow at 4 p.m., TOMORROW TIME 4 PM VOLLEYBALL PLAY.
Simone Biles loves gymnastics!, GYMNASTICS S-I-M-O-N-E B-I-L-E-S LOVES.
Usain Bolt loves running, RUNNING U-S-A-I-N B-O-L-T LOVES.
Muhammad Ali beat George Foreman in boxing., BOXING M-U-H-A-M-M-A-D A-L-I BEAT G-E-O-R-G-E F-O-R-E-M-A-N.
Matt Greene played NHL hockey., NHL HOCKEY M-A-T-T G-R-E-E-N-E PLAYED.
New Year's Eve is Saturday December 31., NEW YEAR'S EVE WHEN? SATURDAY DECEMBER 31.
New Year's Day is Sunday January 1st., NEW YEAR'S DAY WHEN? SUNDAY JANUARY 1ST.
Martin Luther King Jr. Day is Monday January 21., M-L-K DAY WHEN? MONDAY JANUARY 21.
President's Day is Thursday February 18., PRESIDENT'S DAY WHEN? THURSDAY FEBRUARY 18.
Flag Day is June 14., FLAG DAY WHEN? JUNE 14.
St. Patrick's Day is Wednesday March 17., ST. PATRICK'S DAY WHEN? WEDNESDAY MARCH 17.
Good Friday is Friday March 21., GOOD FRIDAY WHEN? FRIDAY MARCH 21.
Easter is Sunday April 17., EASTER WHEN? SUNDAY APRIL 17.
Mother's Day is Sunday May 11., MOTHER'S DAY WHEN? SUNDAY MAY 11.
Memorial Day is Monday May 26., MEMORIAL DAY WHEN? MONDAY MAY 26.
Father's Day is Sunday June 15., FATHER'S DAY WHEN? SUNDAY JUNE 15.
Labor Day is Monday September 1st., LABOR DAY WHEN? MONDAY SEPTEMBER 1ST.
Halloween is Friday October 31., HALLOWEEN WHEN? FRIDAY OCTOBER 31.
Election Day is Tuesday November 4th., ELECTION DAY WHEN? TUESDAY NOVEMBER 4th.
Thanksgiving is Thursday November 20., THANKSGIVING WHEN? THURSDAY NOVEMBER 20.
Hanukkah is Sunday December 21., HANUKKAH WHEN? SUNDAY DECEMBER 21.
Christmas is Wednesday December 25., CHRISTMAS WHEN? WEDNESDAY DECEMBER 25.
My best friend Maggie's favorite holiday is Valentine's Day., VALENTINE'S DAY MY BEST FRIEND M-A-G-G-I-E HER FAVORITE HOLIDAY.
This year I went on vacation to New York., THIS YEAR I WENT VACATION WHERE? NEW YORK.
Valentine's Day is in February and St. Patrick's Day is in March., VALENTINE'S DAY FEBRUARY ST. PATRICK'S DAY MARCH.
At Easter I ate ham salad corn on the cob and cookies., EASTER I ATE WHAT? SALAD CORN ON THE COB HAM COOKIES
My uncle Jacob died on Christmas Day., CHRISTMAS DAY MY UNCLE JACOB DIED.
My brother ate 6 hamburgers on July 4th., JULY 4th MY BROTHER EAT WHAT? 6 HAMBURGERS.
My grandfather's favorite holiday is Memorial Day., MEMORIAL DAY MY GRANDFATHER FAVORITE HOLIDAY.
My son's favorite holiday is Halloween., HALLOWEEN MY SON FAVORITE HOLIDAY.
My cousin's favorite holiday is Thanksgiving., THANKSGIVING MY COUSIN FAVORITE HOLIDAY.
Morty wore a Yarmulke hat at Hanukkah., HANUKKAH M-O-R-T-Y WORE Y-A-R-M-U-L-K-E HAT.
The colors in the rainbow are red orange yellow green blue and purple., RAINBOW COLORS WHAT? RED ORANGE YELLOW GREEN BLUE PURPLE.
Is it sunny or cloudy today?, TODAY SUNNY CLOUDY WHICH?
February has bad weather all month., MONTH FEBRUARY BAD WEATHER.
In Texas it is raining all week., ALL WEEK TEXAS RAIN.
It has been snowing for 3 days in New York., 3 DAYS HEAVY SNOW WHERE? NEW YORK
Forty-eight people died from lightning in 2006., YEAR 2006 48 PEOPLE DIED HOW? LIGHTNING.
The wind made the trees fall., TREES FALL HOW? WIND.
Hurricane Katrina happened in August 2005., HURRICANE K-A-T-R-I-N-A WHEN? AUGUST 2005.
My house flooded yesterday., YESTERDAY MY HOUSE FLOOD.
There was an earthquake today in California., TODAY EARTHQUAKE WHERE? CALIFORNIA.
Tomorrow the temperature will be 98 degrees., TOMORROW TEMPERATURE WHAT? 98.
July and August are hot months in Arizona., MONTH JULY MONTH AUGUST ARIZONA HOT.
In Georgia 40 degrees is cold., GEORGIA 40 DEGREES COLD.
My dog is afraid of thunder and lightning., THUNDER LIGHTNING MY DOG AFRAID.
Dorothy lives in Kansas and is afraid of tornados., KANSAS DOROTHY LIVE. TORNADOS SHE AFRAID.
A good warm temperature is 82 degrees., GOOD TEMPERATURE WHAT? 82 WARM.
Lake Michigan is frozen with ice., LAKE MICHIGAN FROZEN ICE.
It is hard to see in the car because of the fog., CAR SEE BAD FOG.
There is a 100% chance of rain today., 100 PERCENT RAIN TODAY.
Today the weather is sunny., WEATHER TODAY WHAT? SUNNY.
Today the weather is snowy., WEATHER TODAY WHAT? SNOW.
Today the weather is foggy., WEATHER TODAY WHAT? FOG.
Today the weather is rainy., WEATHER TODAY WHAT? RAIN.
Today the weather is sleeting., WEATHER TODAY WHAT? SLEET.
Today the weather is a 50% chance of rain., WEATHER TODAY WHAT? 50 PERCENT RAIN.
Today the weather is a 30% chance of snow., WEATHER TODAY WHAT? 30 PERCENT SNOW.
Today the weather is a 20% chance of hail., WEATHER TODAY WHAT? 20 PERCENT HAIL.
Today the weather is a 75% chance of clouds., WEATHER TODAY WHAT? 75 PERCENT CLOUDY.
What is the weather today?, TODAY WEATHER WHAT?
What is the weather tomorrow?, TOMORROW WEATHER WHAT?
What is the weather Saturday?, SATURDAY WEATHER WHAT?
Today in Michigan will be 48 degrees with rain., TODAY MICHIGAN RAIN 48 DEGREES.
Tomorrow in Michigan will be 64 degrees and sunny., TOMORROW MICHIGAN SUN 64 DEGREES.
Wednesday in Michigan will be 57 degrees and cloudy., WEDNESDAY MICHIGAN CLOUDY 57 DEGREES.
Thursday in Michigan will be 30 degrees and snowy., THURSDAY MICHIGAN SNOW 30 DEGREES.
Today in Hawaii will be sunny and 82 degrees., TODAY HAWAII SUN 82 DEGREES.
Tomorrow in Hawaii will be sunny and 84 degrees., TOMORROW HAWAII SUN 84 DEGREES.
Friday in Hawaii will be 82 degrees and rainy., FRIDAY HAWAII RAIN 83 DEGREES.
Saturday in Hawaii will be 78 degrees and windy., SATURDAY HAWAII WINDY 78 DEGREES.
Today in New York will be 25 degrees and snowy., TODAY NEW YORK SNOW 25 DEGREES.
Tomorrow in New York will be 32 degrees and sleeting., TOMORROW NEW YORK SLEET 32 DEGREES.
Sunday in New York will be 44 degrees and cloudy., SUNDAY NEW YORK CLOUDY 44 DEGREES.
Monday in New York will be 87 degrees with a hurricane., MONDAY NEW YORK HURRICANE 87 DEGREES.
Today in Colorado there will be a blizzard and it will be -3 degrees., TODAY COLORADO BLIZZARD TEMPERATURE NEGATIVE 3.
Tomorrow in Colorado it will be 2 degrees with snow., TOMORROW COLORADO SNOW 2 DEGREES.
Tuesday in Colorado it will be warm at 25 degrees., TUESDAY COLORADO SUN WARM 25 DEGREES.
Wednesday in Colorado it will be 33 degrees and sunny., WEDNESDAY COLORADO SUN 33 DEGREES.
I love pianos., I LOVE PIANOS.
I hate to type., I HATE TYPE.
I dislike airplanes., I DISLIKE AIRPLANES.
I dislike to drink., I DISLIKE DRINK.
Your name is Tina?, YOUR NAME T-I-N-A?
I dislike milk., I DISLIKE MILK.
I asked my friend what she thought about my dress but she beat around the bush with her answer., ME ASK FRIEND HER OPINION MY DRESS SHE VAGUE WON'T TELL ME TRUTH.
Paul Hubbard was the quarterback for Gallaudet University in 1894 and he realized they needed a way to discuss plays in secret so he invented the football huddle., YEAR 1894. P-A-U-L H-U-B-B-A-R-D HIMSELF GALLAUDET FOOTBALL Q-B HE DECIDE NEED SECRET DISCUSS P-L-A-Y INVENT HUDDLE.
Equality is important in the workplace., WORKPLACE EQUALITY IMPORTANT.
Juneteenth celebrates freedom from slavery., JUNETEENTH CELEBRATE WHAT? FREEDOM FROM SLAVERY.
WHICH STATE WOULD YOU PREFER TO VISIT?, STATE YOU PREFER VISIT WHICH?
I like trees. I love pine trees., I LIKE TREES. I LOVE P-I-N-E TREES.
I like baseball bats., I LIKE BASEBALL BATS.
I dislike baseball bats., I DISLIKE BASEBALL BATS.
I love baseball bats., I LOVE BASEBALL BATS.
I hate baseball bats., I HATE BASEBALL BATS.
Will died at 8:00 PM., TIME 8 PM W-I-L-L DIED.
What is your best friend's name?, YOUR BEST FRIEND NAME WHAT?
Valentine's Day is Wednesday February 14., VALENTINE'S DAY WHEN? WEDNESDAY FEBRUARY 14.
Independence Day is Friday July 4., INDEPENDENCE DAY WHEN? FRIDAY JULY 4.
Independence Day is Friday July 4th., INDEPENDENCE DAY WHEN? FRIDAY JULY 4TH.
Veteran's Day is Thursday November 11., VETERAN'S DAY WHEN? THURSDAY NOVEMBER 11.
Spring break is Monday March 19., SPRING BREAK WHEN? MONDAY MARCH 19.
I live in Florida., I LIVE FLORIDA.
I live in Florida., FLORIDA I LIVE.
I am from Indiana., I FROM INDIANA.
I am from Indiana., INDIANA I FROM.
I was born in New York., I BORN NEW YORK.
I was born in New York., NEW YORK I BORN.
Which state do you live in?, WHICH STATE YOU LIVE?
Which state do you live in?, STATE YOU LIVE WHICH?
Where are you from?, WHERE YOU FROM?
Where are you from?, YOU FROM WHERE?
Which state are you from?, WHICH STATE YOU FROM?
Which state are you from?, STATE YOU FROM WHICH?
Where were you born?, WHERE YOU BORN?
Where were you born?, YOU BORN WHERE?
My father's favorite class is math., MATH MY FATHER HIS FAVORITE CLASS.
My mother's favorite class is algebra., ALGEBRA MY MOTHER HER FAVORITE CLASS.
My grandfather's favorite class is geometry., GEOMETRY MY GRANDFATHER HIS FAVORITE CLASS.
My grandmother's favorite class is science., SCIENCE MY GRANDMOTHER HER FAVORITE CLASS.
My uncle's favorite class is biology., BIOLOGY MY UNCLE HIS FAVORITE CLASS.
My aunt's favorite class is chemistry., CHEMISTRY MY AUNT HER FAVORITE CLASS.
My nephew's favorite class is theater., THEATER MY NEPHEW HIS FAVORITE CLASS.
My niece's favorite class is English., ENGLISH MY NIECE HER FAVORITE CLASS.
My (male) cousin's favorite class is history., HISTORY MY COUSIN HIS FAVORITE CLASS.
My husband's favorite class is nursing., NURSING MY HUSBAND HIS FAVORITE CLASS.
My wife's favorite class is medicine., MEDICINE MY WIFE HER FAVORITE CLASS.
My son's favorite class is music., MUSIC MY SON HIS FAVORITE CLASS.
My daughter's favorite class is law., LAW MY DAUGHTER HER FAVORITE CLASS.
My brother's favorite class is psychology., PSYCHOLOGY MY BROTHER HIS FAVORITE CLASS.
My sister's favorite class is social work., SOCIAL WORK MY SISTER HER FAVORITE CLASS.
My boyfriend's favorite class is education., EDUCATION MY BOYFRIEND HIS FAVORITE CLASS.
My girlfriend's favorite class is art., ART MY GIRLFRIEND HER FAVORITE CLASS.
My friend's favorite class is business., BUSINESS MY FRIEND THEIR FAVORITE CLASS.
My good friend's favorite class is interpreting., INTERPRETING MY GOOD FRIEND THEIR FAVORITE CLASS.
My best friend's favorite class is religion., RELIGION MY BEST FRIEND THEIR FAVORITE CLASS.
My teacher's favorite class is engineering., ENGINEERING MY TEACHER THEIR FAVORITE CLASS.
My favorite class is plumbing., PLUMBING MY FAVORITE CLASS.
Your favorite class is auto mechanics., AUTO MECHANICS YOUR FAVORITE CLASS.
My (male) cousin's favorite class is hair styling., HAIR STYLING MY COUSIN HIS FAVORITE CLASS.
I have 1 cat., 1 CAT I HAVE.
I have 2 dogs., 2 DOGS I HAVE.
I have 3 horses., 3 HORSES I HAVE.
I have 4 cows., 4 COWS I HAVE.
I have 5 pigs., 5 PIGS I HAVE.
I have 6 mice., 6 MICE I HAVE.
I have 7 snakes., 7 SNAKES I HAVE.
I have 8 rabbits., 8 RABBITS I HAVE.
I have 9 spiders., 9 SPIDERS I HAVE.
I have 10 birds., 10 BIRDS I HAVE.
I have 11 turtles., 11 TURTLES I HAVE.
I have 12 fish., 12 FISH I HAVE.
I hate monkeys., MONKEYS I HATE.
I love elephants., ELEPHANTS I LOVE.
I like lions., LIONS I LIKE.
I dislike tigers., TIGERS I DISLIKE.
I am afraid of giraffes., GIRAFFES I AFRAID.
I hate deer., DEER I HATE.
I love bears., BEARS I LOVE.
I like squirrels., SQUIRRELS I LIKE.
I dislike butterflies., BUTTERFLIES I DISLIKE.
I am afraid of ducks., DUCKS I AFRAID.
I hate mosquitoes., MOSQUITOES I HATE.
Baseball practice is at 12:00 pm., TIME 12:00 PM BASEBALL PRACTICE.
The basketball game is at 1:00 pm., TIME 1:00 PM BASKETBALL GAME.
Volleyball practice is at 2:00 pm., TIME 2:00 PM VOLLEYBALL PRACTICE.
The football game is at 3:00 pm., TIME 3:00 PM FOOTBALL GAME.
Soccer practice is at 4:00 pm., TIME 4:00 PM SOCCER PRACTICE.
The golf game is at 5:00 pm., TIME 5:00 PM GOLF GAME.
Tennis practice is at 6:00 pm., TIME 6:00 PM TENNIS PRACTICE.
The ping pong game is at 7:00 pm., TIME 7:00 PM PING PONG GAME.
Bowling practice is at 8:00 pm., TIME 8:00 PM BOWLING PRACTICE.
The hockey game is at 11:30 am., TIME 11:30 AM HOCKEY GAME.
The skiing race is at 10:30 am., TIME 10:30 AM SKIING RACE.
The boxing class is at 9:30 am., TIME 9:30 AM BOXING CLASS.
The swimming race is at 8:30 am., TIME 8:30 AM SWIMMING RACE.
The bicycling race is at 7:30 am., TIME 7:30 AM BICYCLING RACE.
The weight lifting class is at 6:30 am., TIME 6:30 AM WEIGHT LIFTING CLASS.
The snowboarding class is at 7:00 am., TIME 7:00 AM SNOWBOARDING CLASS.
The ice skating class is at 8:00 am., TIME 8:00 AM ICE SKATING CLASS.
The roller skating class is at 9:00 am., TIME 9:00 AM ROLLER SKATING CLASS.
The gymnastics class is at 10:00 am., TIME 10:00 AM GYMNASTICS CLASS.
The running race is at 11:00 am., TIME 11:00 AM RUNNING RACE.
The dancing competition is at 12:00 pm., TIME 12:00 PM DANCING COMPETITION.
The exercise class is at 1:00 pm., TIME 1:00 PM EXERCISE CLASS.
The wrestling class is at 2:00 pm., TIME 2:00 PM WRESTLING CLASS.
My sister's favorite holiday is Hanukkah., HANUKKAH MY SISTER HER FAVORITE HOLIDAY.
Veteran's Day is Wednesday November 11., VETERAN'S DAY WHEN? WEDNESDAY NOVEMBER 11.
The weather is hot today., TODAY WEATHER HOT.
The weather is warm today., TODAY WEATHER WARM.
The weather is cold today., TODAY WEATHER COLD.
The weather is cool today., TODAY WEATHER COOL.
Today the weather is sunny., WEATHER TODAY WHAT? SUNNY.
Today the weather is cloudy., WEATHER TODAY WHAT? CLOUDY.
Today the weather is windy., WEATHER TODAY WHAT? WINDY.
Today the weather is rainy., WEATHER TODAY WHAT? RAINY.
Today the weather is snowy., WEATHER TODAY WHAT? SNOWY.
What is the weather today?, TODAY WEATHER WHAT?
What is the weather today?, WEATHER TODAY WHAT?
What is the weather tomorrow?, WEATHER TOMORROW WHAT?
What is the weather Saturday?, WEATHER SATURDAY WHAT?
Today's weather forecast is fog., TODAY WEATHER FORECAST FOG.
Today's weather forecast is thunder., TODAY WEATHER FORECAST THUNDER.
Today's weather forecast is lightning., TODAY WEATHER FORECAST LIGHTNING.
Today's weather forecast is a tornado., TODAY WEATHER FORECAST TORNADO.
Today's weather forecast is a hurricane., TODAY WEATHER FORECAST HURRICANE.
Today's weather forecast is a blizzard., TODAY WEATHER FORECAST BLIZZARD.
Today's weather forecast is a flood., TODAY WEATHER FORECAST FLOOD.
Today's weather forecast is freezing rain., TODAY WEATHER FORECAST FREEZING RAIN.
Today the weather is a 85% chance of freezing rain., WEATHER TODAY WHAT? 85 PERCENT FREEZING RAIN.
Georgia is in the south., GEORGIA WHERE? SOUTH
My mother lives in Georgia., MY MOTHER LIVE WHERE? GEORGIA
My father was born in Kentucky., MY FATHER BORN WHERE? KENTUCKY
My brother died in Louisiana., MY BROTHER DIED WHERE? LOUISIANA
My sister is from Maryland., MY SISTER FROM WHERE? MARYLAND
My grandmother was married in Missouri., MY GRANDMOTHER MARRIED WHERE? MISSOURI
My grandfather went to New Hampshire., MY GRANDFATHER WENT WHERE? NEW HAMPSHIRE
My aunt lives in New Jersey., MY AUNT LIVE WHERE? NEW JERSEY
My uncle was born in New Mexico., MY UNCLE BORN WHERE? NEW MEXICO
My cousin died in North Carolina., MY COUSIN DIED WHERE? NORTH CAROLINA
My friend is from North Dakota., MY FRIEND FROM WHERE? NORTH DAKOTA
